Model,Cluster,Count,Average Age,Most Common Gender,Most Common Race,Most Common City,Most Common State,Most Common Weapon,Most Common Relationship
KMeans,0,2490,57.57991967871486,Male,White,Los Angeles,California,Handgun,Acquaintance
KMeans,1,7510,25.60652463382157,Male,Black,Los Angeles,California,Handgun,Acquaintance
GMM,0,495,28.11919191919192,Female,White,Hartford,Texas,Handgun,Wife
GMM,1,522,25.77777777777778,Male,White,Ventura,California,Handgun,Acquaintancel
GMM,2,6263,35.11240619511416,Male,White,New York,California,Handgun,Acquaintance
GMM,3,1819,29.306761957119296,Male,Black,Cook,California,Handgun,Acquaintance
GMM,4,901,38.94117647058823,Male,White,El Paso,Texas,Handgun,Acquaintance
DBSCAN,-1,7579,35.17904736772661,Male,White,Los Angeles,California,Handgun,Acquaintance
DBSCAN,0,16,24.4375,Male,White,Orange,California,Handgun,Acquaintance
DBSCAN,1,133,32.40601503759399,Male,White,New York,New York,Handgun,Acquaintance
DBSCAN,2,69,28.797101449275363,Male,White,Los Angeles,California,Handgun,Stranger
DBSCAN,3,30,28.3,Male,Black,New York,New York,Handgun,Stranger
DBSCAN,4,20,29.15,Male,Black,Alameda,California,Handgun,
DBSCAN,5,28,36.32142857142857,Male,White,New York,New York,Knife,Acquaintance
DBSCAN,6,80,27.35,Male,Black,Baltimore city,Maryland,Handgun,Acquaintance
DBSCAN,7,174,27.137931034482758,Male,Black,New York,New York,Handgun,Acquaintance
DBSCAN,8,12,27.416666666666668,Male,Black,New York,New York,Firearm,
DBSCAN,9,21,43.04761904761905,Male,White,Dade,Florida,Handgun,Acquaintance
DBSCAN,10,12,29.333333333333332,Male,White,Riverside,California,Handgun,Acquaintance
DBSCAN,11,26,29.192307692307693,Male,Black,Fulton,Georgia,Handgun,Acquaintance
DBSCAN,12,12,30.666666666666668,Male,Black,Duval,Florida,Handgun,
DBSCAN,13,20,31.35,Male,Black,Marion,Indiana,Handgun,Acquaintance
DBSCAN,14,39,28.0,Male,Black,District of Columbia,District of Columbia,Handgun,
DBSCAN,15,12,27.333333333333332,Male,Black,East Baton Rouge,Louisiana,Handgun,Acquaintance
DBSCAN,16,148,26.93918918918919,Male,White,Los Angeles,California,Handgun,Acquaintance
DBSCAN,17,82,28.646341463414632,Male,Black,Wayne,Michigan,Handgun,Acquaintance
DBSCAN,18,31,31.06451612903226,Male,Black,New York,New York,Knife,Acquaintance
DBSCAN,19,21,31.80952380952381,Male,White,New York,New York,Handgun,Stranger
DBSCAN,20,22,29.045454545454547,Male,Black,Harris,Texas,Handgun,Stranger
DBSCAN,21,24,24.583333333333332,Male,Black,Dade,Florida,Handgun,
DBSCAN,22,48,27.833333333333332,Male,Black,Orleans,Louisiana,Handgun,Acquaintance
DBSCAN,23,28,31.214285714285715,Male,Black,Dallas,Texas,Handgun,Acquaintance
DBSCAN,24,25,25.56,Male,Black,Cook,Illinois,Handgun,Stranger
DBSCAN,25,17,26.235294117647058,Male,Black,Cuyahoga,Ohio,Handgun,Acquaintance
