Gender,Race,Age,City,State,Weapon,Relationship,Solved,KMeans_Cluster,GMM_Cluster,DBSCAN_Cluster
Male,Black,19,Chesapeake,Virginia,Handgun,,Yes,1,3,-1
Female,White,34,Dade,Florida,Firearm,,Yes,1,2,-1
Male,Black,24,Orange,New York,Handgun,,Yes,1,3,-1
Male,Black,22,Stark,Ohio,Knife,Acquaintance,Yes,1,3,-1
Male,White,30,Los Angeles,California,Blunt Object,Stranger,No,1,2,-1
Male,Asian/Pacific Islander,36,Putnam,Florida,Handgun,Friend,Yes,1,2,-1
Male,White,46,Dallas,Texas,Shotgun,Stranger,Yes,0,2,-1
Male,White,48,Genesee,Michigan,,Acquaintance,Yes,0,2,-1
Male,White,17,Montgomery,Maryland,Handgun,,No,1,2,-1
Male,,26,Orange,California,Handgun,,No,1,2,0
Male,White,17,Pima,Arizona,Knife,,No,1,2,-1
Male,Black,36,Shelby,Tennessee,Firearm,,Yes,1,2,-1
Male,Black,86,Alameda,California,Handgun,,No,0,2,-1
Male,Black,41,Dallas,Texas,Knife,,No,1,2,-1
Female,Black,47,Philadelphia,Pennsylvania,Handgun,,No,0,2,-1
Male,White,22,San Joaquin,California,Handgun,Stranger,No,1,2,-1
Male,White,27,Orange,California,Rifle,Acquaintance,Yes,1,2,-1
Male,White,45,Olmsted,Minnesota,Handgun,Acquaintance,Yes,0,4,-1
Male,Black,38,Mecklenburg,North Carolina,Knife,,No,1,3,-1
Male,White,33,Pasco,Florida,Firearm,,Yes,1,1,-1
Male,White,6,Bourbon,Kentucky,,Acquaintance,Yes,1,1,-1
Female,White,33,Alameda,California,Handgun,Ex-Wife,Yes,1,0,-1
Female,Black,29,Harris,Texas,Strangulation,Girlfriend,Yes,1,2,-1
Male,Black,32,Crittenden,Arkansas,Handgun,,Yes,1,3,-1
Male,White,48,Poinsett,Arkansas,Knife,,Yes,0,4,-1
Female,White,1,Los Angeles,California,Blunt Object,Family,Yes,1,2,-1
Male,Black,34,St. Louis,Missouri,Handgun,,No,1,2,-1
Female,Black,21,Tulsa,Oklahoma,Knife,,No,1,2,-1
Female,White,0,Northampton,Pennsylvania,Blunt Object,Daughter,Yes,1,2,-1
Male,Black,28,Broward,Florida,Firearm,,Yes,1,3,-1
Female,Black,0,Cumberland,North Carolina,Blunt Object,Daughter,Yes,1,2,-1
Male,White,30,Madison,Illinois,Handgun,,No,1,2,-1
Female,White,59,Travis,Texas,Knife,Acquaintance,Yes,0,2,-1
Male,White,35,New York,New York,Handgun,,Yes,1,2,1
Female,White,35,Muskogee,Oklahoma,,,No,1,0,-1
Male,White,17,Los Angeles,California,Handgun,Stranger,Yes,1,2,2
Male,White,31,New York,New York,Handgun,,No,1,2,1
Male,Native American/Alaska Native,19,Los Angeles,California,Handgun,,Yes,1,3,-1
Male,Asian/Pacific Islander,29,Honolulu,Hawaii,Handgun,Acquaintance,Yes,1,2,-1
Female,White,20,Douglas,Oregon,Blunt Object,,No,1,0,-1
Male,Black,26,Fulton,Georgia,Knife,Acquaintance,Yes,1,3,-1
Male,Black,19,New York,New York,Handgun,Stranger,Yes,1,2,3
Female,White,19,New York,New York,Handgun,Stranger,Yes,1,2,-1
Male,White,42,Orange,California,Blunt Object,Stranger,Yes,0,2,-1
Male,White,31,Marquette,Michigan,Rifle,Friend,Yes,1,4,-1
Male,Black,32,Lee,Florida,Handgun,Stranger,Yes,1,2,-1
Male,Black,20,Philadelphia,Pennsylvania,Firearm,Acquaintance,Yes,1,3,-1
Female,Black,22,King,Washington,Knife,,No,1,2,-1
